标的状态.还清,性别.女,年龄,学历.高中及以下,学历.研究生及以上,婚姻.已婚,婚姻.未婚,公司性质.民企,公司性质.单位,公司性质.其他,公司性质.优企,公司性质.外企,公司规模.100.500人,公司规模.10人以下,公司规模.500人以上,工作时间.1.3年,工作时间.1年以内,工作时间.3.5年,工作时间.无,投资人次,标的类型.实地认证标,标的类型.信用认证标,借款性质.个人消费,借款性质.购车购房,借款性质.婚礼筹备,借款性质.教育培训,借款性质.其他借款,借款性质.投资创业,借款性质.医疗支出,借款性质.装修借款,标的总额,年利率,期限.12个月,期限.13个月,期限.14个月,期限.15个月,期限.16个月,期限.18个月,期限.20个月,期限.21个月,期限.23个月,期限.24个月,期限.30个月,期限.36个月,期限.3个月,期限.48个月,期限.6个月,期限.8个月,期限.9个月,收入.5000元以下,收入.5000.10000元,收入.20000.50000元,收入.50000元以上,房产.TRUE,房贷.TRUE,车产.TRUE,车贷.TRUE,借款总额,申请借款,成功借款,还清笔数,逾期次数
1,1,44,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,75,1,0,0,0,0,0,0,0,0,0,60000,10.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,60000,1,1,1,0
1,0,33,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,42,1,0,1,0,0,0,0,0,0,0,28800,10.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,28800,1,1,0,0
1,0,34,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,171,1,0,1,0,0,0,0,0,0,0,70600,11.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,70600,1,1,0,0
1,0,33,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,19000,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,41800,3,2,2,1
1,0,30,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,281,1,0,0,0,0,0,0,0,0,0,78900,10.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,78900,1,1,1,0
1,0,44,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,64,1,0,0,0,0,0,0,0,0,0,91500,10.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,91500,1,1,1,0
1,0,27,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,61900,10.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,61900,1,1,1,0
1,0,30,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,23,0,1,0,0,0,0,1,0,0,0,60000,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,120000,5,3,3,2
1,0,44,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,74,1,0,1,0,0,0,0,0,0,0,78500,12.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,78500,1,1,0,0
1,0,38,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,52,1,0,0,0,0,0,0,0,0,0,172500,10.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,172500,1,1,1,0
1,1,45,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,231,1,0,0,0,0,0,0,1,0,0,107700,9.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,107700,1,1,0,0
1,0,34,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,62,1,0,0,0,0,0,0,0,0,0,62000,11.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,62000,1,1,0,0
1,1,25,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,178,1,0,0,0,0,0,0,0,0,0,50000,10.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,50000,1,1,1,0
1,0,25,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,16,0,1,0,0,0,0,0,0,0,0,12000,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,12000,1,1,1,8
1,1,40,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,45,1,0,0,0,0,0,0,0,0,0,63700,11.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,63700,1,1,1,0
1,0,27,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,106,1,0,0,0,0,0,0,0,0,0,44100,10.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,44100,1,1,1,0
1,1,40,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,126,1,0,0,0,0,0,0,0,0,0,109900,9.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,109900,1,1,1,0
1,0,33,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,158,1,0,0,0,0,0,0,0,0,0,86000,9.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,86000,1,1,0,0
1,0,52,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,71,1,0,0,0,0,0,0,0,0,0,54100,10.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,54100,1,1,1,0
1,0,51,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,0,0,0,38800,11.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,125500,2,2,0,0
1,0,34,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,321,1,0,0,0,0,0,0,0,0,0,64600,10.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,64600,1,1,1,0
1,1,25,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,464,1,0,0,0,0,0,0,0,0,0,154500,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,154500,1,1,1,0
1,1,27,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,11000,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,1,1,1,0
1,0,39,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,204,1,0,0,0,0,0,0,0,0,0,142000,10.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,142000,1,1,1,0
1,0,32,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,1,0,0,0,0,0,0,0,1,26400,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,48400,2,2,2,2
1,0,42,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,149,1,0,0,0,0,0,0,0,0,0,90800,10.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,90800,1,1,1,0
1,0,26,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,19200,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,35200,2,2,2,0
1,0,40,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,48,1,0,1,0,0,0,0,0,0,0,95800,10.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,95800,1,1,1,0
1,1,40,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,199,1,0,0,0,0,0,0,1,0,0,94800,10.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,94800,1,1,1,0
1,1,28,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,71,1,0,0,0,0,0,0,0,0,0,101000,10.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,101000,1,1,1,0
1,0,42,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,137,1,0,1,0,0,0,0,0,0,0,116600,10.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,116600,1,1,1,0
1,1,27,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,27,1,0,0,0,0,0,0,0,0,0,26800,11.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26800,1,1,1,0
1,0,49,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,156,1,0,1,0,0,0,0,0,0,0,77300,10.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,77300,1,1,1,0
