"jieba.title","Freq"
"C",1
"IT",2
"XF",1
"挨",1
"安防",1
"安家乐业",1
"安监",1
"安培",1
"安心",1
"安装",1
"按时",16
"按约",1
"奥瑞",1
"八桥",1
"八万元",1
"爸爸",1
"爸妈",1
"白领",4
"班",1
"搬家",1
"搬迁",1
"办",4
"办公室",1
"办理",1
"帮",1
"帮忙",2
"帮助",2
"包装袋",1
"保安员",1
"保险",1
"保险公司",1
"保险客户",1
"保障",3
"保证",3
"报考",1
"报名",1
"爆款",2
"备贷",1
"备货",47
"备用",1
"本次",1
"本地",1
"本科",1
"本人",20
"笔记本",1
"必要",1
"编",2
"编制",4
"便利店",1
"便宜",1
"宾馆",1
"补充",2
"补交",1
"补课班",1
"补习班",2
"不够",7
"不难",1
"部分",2
"部落",1
"部门",2
"部门经理",1
"材料",6
"采购",4
"采购员",1
"彩票",1
"餐厅",3
"餐饮",1
"餐饮店",1
"仓库",2
"操作员",1
"茶叶",1
"茶艺馆",1
"差",4
"差点",2
"差钱",2
"差一点",1
"拆迁房",2
"柴油",1
"产假",1
"产品",8
"产品开发",1
"产品品种",1
"偿还",1
"厂",1
"厂房",2
"厂里",2
"超市",5
"车",2
"车辆",7
"车钱",1
"车位",1
"车子",1
"成立",1
"成人",1
"诚实",1
"诚信",27
"诚信为本",1
"诚意",3
"承包",2
"程序员",1
"充电",1
"充裕",1
"筹办",2
"筹备",15
"筹款",1
"出差",1
"出国",3
"出门",1
"出去",1
"出租车",1
"厨房",1
"储备",3
"创办",1
"创立",1
"创业",69
"创业资金",1
"春季",3
"春节",3
"春款",1
"春夏",3
"此次",1
"此款",1
"次",4
"从事",1
"从未",1
"从业人员",1
"存货",1
"打爆",1
"打车",2
"打款",1
"打算",3
"打造",2
"大",3
"大笔",1
"大家",4
"大棚",1
"大想",1
"大型",6
"大学",2
"代表",2
"代步",2
"代步车",1
"代理",3
"代理权",1
"带",1
"贷",4
"贷点",1
"贷款",95
"单反",1
"单位",8
"得到",1
"灯饰",2
"低",1
"滴滴",2
"地址",1
"弟弟",1
"第二产业",1
"第二次",11
"第三次",7
"第三家",1
"第四次",5
"第五次",1
"第一",1
"第一次",2
"点",1
"点钱",1
"电动叉车",1
"电工",2
"电工证",1
"电脑",1
"电脑店",2
"电器",6
"电商",1
"电视台",1
"电信公司",1
"电子",1
"店",15
"店加",1
"店近",1
"店老板",1
"店里",1
"店面",25
"店内",1
"店铺",30
"店商",1
"店长",1
"店主",6
"垫资",3
"顶呱呱",1
"订",1
"订单",3
"订婚",1
"订货",1
"订金",1
"定婚",1
"东西",3
"冬天",1
"独企",1
"读书",2
"度蜜月",1
"短期",138
"短期贷款",1
"短期投资",1
"队员",1
"对象",1
"多分",1
"多年",1
"儿童",1
"儿子",7
"二",2
"二次",9
"二后",1
"二手车",4
"二手房",1
"发电",1
"发展",5
"法人",4
"翻新",1
"饭店",3
"饭馆",1
"方便",5
"房",7
"房产",6
"房间",2
"房屋",255
"房子",84
"房租",1
"放假",1
"放心",1
"飞机",2
"费用",6
"分店",6
"分期",1
"丰富",1
"蜂窝",1
"缝纫机",1
"夫妇",1
"夫妻",1
"服务公司",1
"服装",5
"服装店",7
"服装面料",1
"福利",1
"福特",1
"父母",3
"付",1
"负责人",1
"副",3
"副业",7
"副总",1
"改善",1
"改善生活",1
"改造",3
"盖",1
"干部",6
"刚",2
"刚建好",1
"刚开",2
"刚买",1
"钢架",1
"钢琴",1
"港口",1
"港企",1
"高层",2
"高尔夫",1
"高管",11
"高级",1
"高级技师",1
"高速公路",1
"高息",1
"高新科技",1
"高薪",1
"搞点",1
"格局",1
"个人",39
"个人消费",63
"个人住房",1
"个人资料",1
"个体",17
"个体户",3
"个体经营",3
"给与",1
"更好",1
"更换",1
"更新",3
"工",1
"工厂",3
"工程",9
"工程师",11
"工地",1
"工龄",1
"工人",2
"工人阶级",1
"工商",2
"工商户",5
"工薪",15
"工薪阶层",2
"工薪族",14
"工装",1
"工作",17
"工作人员",4
"公安",1
"公办",45
"公积金",1
"公交",2
"公立医院",4
"公司",112
"公司法人",12
"公司员工",16
"公务员",107
"公职人员",3
"攻城",1
"共同",1
"供暖",1
"供应",1
"供应商",1
"购",7
"购车",89
"购房",22
"购婚",1
"购货",4
"购了",1
"购楼",1
"购买",72
"购卖",1
"购前",1
"购入",1
"购水",1
"购物",7
"购置",17
"够",1
"够买",1
"顾问",1
"管理",7
"管理层",7
"管理人员",9
"灌装",1
"广大",1
"广告",1
"广告设备",1
"规模",12
"柜员",1
"国",1
"国家",9
"国企",78
"国庆",3
"国外",1
"国营企业",1
"国有",1
"国有企业",7
"过年",18
"还",5
"还贷",4
"还款",26
"还清",1
"孩子",3
"韩国",1
"行业",2
"行政",3
"行政主管",2
"好",7
"好标",1
"耗材",1
"合法",1
"合格",1
"合伙",3
"合开",1
"合同",1
"合作",3
"很多",1
"红火",1
"红酒",1
"后",3
"后车",1
"后勤",1
"户",1
"户口",1
"护师",2
"划算",4
"化妆品",1
"换",4
"换车",5
"换季",3
"换辆",2
"换置",1
"皇冠",13
"回家",4
"回老家",1
"回拢",1
"回收",1
"会",4
"会计",5
"婚房",12
"婚后",1
"婚礼",17
"混凝土",1
"活动",3
"火锅店",2
"货",5
"货车",2
"货款",5
"货物",3
"货源",3
"机构",2
"机关",8
"机加",1
"机票代理",1
"机械",3
"机械厂",1
"机械配件",1
"积累",4
"基地",1
"基金",1
"极好",1
"急",4
"急需",7
"急需资金",4
"急用",5
"集团",1
"几期",1
"几套",1
"计划",3
"技超",1
"技术",3
"技术员",2
"加",3
"加工",3
"加工厂",2
"加盟",1
"家电",27
"家居",2
"家具",23
"家具城",1
"家俱",2
"家里",20
"家人",1
"家私",1
"家庭",9
"家用",2
"家用车",2
"家用电器",5
"家装",3
"假期",1
"价层",1
"价款",1
"驾驶证",1
"驾校",1
"驾照",3
"坚持",1
"间",1
"监督局",1
"监控",1
"兼职",23
"简易",1
"件物品",1
"建",1
"建房",1
"建了",1
"建筑",1
"箭牌",1
