"jieba.title","Freq"
"AA",1
"ACCP",1
"ACER",1
"AFP",1
"C",2
"CCIE",1
"CNC",1
"D",2
"greaye",1
"IDC",1
"IT",23
"M",1
"MBA",2
"N",1
"s",1
"SEM",1
"top",1
"TS",1
"w",2
"W",5
"阿胶",1
"阿里",1
"爱好",2
"爱人",11
"安防",1
"安居工程",1
"安全",3
"安全可靠",1
"安置",1
"桉树",1
"按揭",1
"按期",3
"按时",29
"按约",2
"八方支援",1
"白领",36
"百度",1
"百年",1
"摆酒",1
"班",1
"班车",1
"班长",1
"搬",2
"办",5
"办厂",1
"办个",1
"办公",5
"办公房",1
"办公室",3
"办理",2
"办事员",1
"办置",1
"半年",1
"帮",3
"帮帮忙",3
"帮忙",6
"帮助",4
"包装",1
"包装厂",1
"宝宝",1
"宝马",1
"保健",1
"保险",2
"保险公司",3
"保险业",1
"保障",4
"保证",4
"保证金",4
"报",1
"报读",1
"报关员",1
"报名",1
"爆款",3
"北斗",1
"北京",5
"北漂",1
"备",1
"备货",125
"备料",2
"备些",1
"备用金",4
"备战",1
"倍",1
"本厂",1
"本金",1
"本科",1
"本人",13
"本息",2
"比起",1
"笔记本电脑",1
"必定",1
"必须品",1
"毕业",1
"编",1
"编程",1
"编辑",2
"编制",6
"便利",1
"便利店",1
"标",1
"彪哥",2
"宾馆",3
"伯恩",1
"博士",1
"博洋家纺",1
"补充",6
"补货",2
"补交",1
"补贴",1
"补习班",2
"不",1
"不够",3
"不借",1
"不良",1
"不时之需",2
"不锈钢",1
"不育",1
"不足",1
"布置",1
"部",1
"部分",3
"部门",4
"部门经理",7
"部长",2
"才",1
"材料",14
"财富",1
"财务部",1
"财务会计",2
"财务经理",2
"财务人员",2
"财务主管",2
"财政拨款",1
"采购",32
"采油工",1
"彩超",1
"彩电",1
"彩礼",1
"参公",2
"参股",1
"参加",5
"参与",1
"餐馆",5
"餐厅",3
"餐饮",11
"餐饮店",7
"餐饮公司",1
"餐饮行业",1
"餐饮企业",1
"仓库",2
"草",1
"策划",1
"茶馆",1
"茶几",1
"茶楼",2
"茶社",1
"茶叶",2
"茶叶店",1
"茶庄",1
"差",3
"差点",3
"差额",1
"差价",1
"差旅",1
"差钱",2
"差些",1
"差一点",3
"拆解",1
"拆迁",2
"拆迁房",1
"产品",15
"产品包装",1
"产品开发",1
"产子",1
"尝试",6
"偿还",5
"厂",1
"厂房",2
"厂家",1
"厂务",1
"场地",1
"超市",16
"车",7
"车店",1
"车间",2
"车库",3
"车款",1
"车了",1
"车辆",15
"车牌",1
"车位",3
"车险",1
"车站",1
"车子",2
"陈旧",1
"成本",2
"成功",3
"成立",3
"成人",1
"诚借",1
"诚实",3
"诚心",1
"诚信",64
"诚信网",1
"诚信为本",3
"承包",6
"承包地",1
"承包经营",1
"承诺",1
"程序员",2
"冲冠",2
"冲击",1
"充电",1
"宠物店",2
"筹办",6
"筹备",88
"筹措",1
"筹集资金",2
"筹建",1
"筹借",1
"筹款",2
"筹资",1
"出国",8
"出行",2
"出借",1
"出口",1
"出来",1
"出门",1
"出纳",2
"出去",5
"出生",2
"出游",1
"出租",4
"出租车",2
"出租房",1
"初次",2
"初期",1
"厨房",1
"厨房设备",1
"厨师",1
"厨卫",1
"橱柜",1
"储备",6
"储备金",1
"储存",2
"创",1
"创建",1
"创新",1
"创业",317
"创业基金",1
"创业投资",9
"创业资金",1
"创造",1
"春季",10
"春节",7
"春夏",2
"春装",1
"此笔",1
"次",12
"从不",1
"从事",2
"从未",4
"从业",1
"从业人员",3
"从业者",2
"凑",2
"凑备",1
"凑点",1
"凑钱",2
"促销",3
"簇",1
"村官",2
"存货",2
"搭建",1
"答复",1
"打卡",3
"打款",1
"打算",7
"打印",1
"打印机",1
"大",7
"大促",4
"大大",1
"大渡口",1
"大额",1
"大家",15
"大件",4
"大客车",1
"大排档",1
"大棚",1
"大鹏",1
"大型",19
"大型活动",1
"大学",11
"大学城",1
"大学教授",1
"大学老师",1
"大学生",4
"大枣",1
"大专",1
"大专院校",1
"大宗",2
"代表",3
"代步",3
"代步车",1
"代发",1
"代工厂",1
"代购",1
"代理",5
"代理商",1
"带",1
"贷",16
"贷给",1
"贷款",143
"贷老",1
"贷炼级",1
"贷为",1
"单反",1
"单反相机",1
"单位",26
"淡季",1
"蛋糕",1
"当月",1
"档案",1
"到期",1
"得到",2
"得以",1
"德国",1
"的士",1
"滴滴",1
"地产",2
"地方",3
"地热",1
"弟弟",2
"第二产业",2
"第二次",28
"第二辆",1
"第二套",1
"第六次",1
"第三",1
"第三次",19
"第三期",1
"第十个",1
"第四次",7
"第五次",3
"第一",6
"第一次",6
"点",6
"电",1
"电工",1
"电力",2
"电力公司",1
"电脑",13
"电脑城",1
"电脑店",1
"电脑公司",1
"电脑设备",1
"电气",2
"电气工程",1
"电气工程师",1
"电器",17
"电器设备",1
"电商",6
"电视台",4
"电子产品",3
"电子厂",1
"电子商务",1
"店",49
"店老板",1
"店门",1
"店面",32
"店内",4
"店铺",72
"店营",1
"店主",18
"垫付",2
"垫资",5
"貂皮",1
"屌丝",1
"吊脚楼",1
"顶级",1
"订单",4
"订货",1
"定金",3
"定居",1
"东西",3
"冬季",1
"都",1
"都市",1
"独资",1
"读",2
"读书",2
"读研",1
"度过",1
"度蜜月",2
"短款",1
"短期",640
"短期内",1
"短期培训",1
"短期投资",2
"队长",1
"对象",5
"兑现",1
"多次",6
"多多",4
"多台",1
"多谢",1
"多学点",1
"朵娜",1
"额",1
"额度",3
"额外",1
"儿童教育",1
"儿童玩具",1
"儿子",7
"二",5
"二次",18
"二手",1
"二手车",3
"二手房",4
"二手轿车",1
"发馆",1
"发起",1
"发展",9
"发展前景",1
"法人",3
"翻新",4
"翻修",3
"饭",1
"饭店",11
"饭馆",2
"范围",1
"方便",4
"防爆膜",1
"防水",1
"防雾",1
"房",14
"房产",13
"房产公司",1
"房产证",1
"房贷",2
"房间",6
"房款",3
"房企",1
"房企高管",1
"房屋",638
"房想",1
"房子",205
"房租",2
"放暑假",1
"放心",2
"飞机",1
"非常",1
"费用",17
"分",1
"分包",1
"分担",2
"分店",11
"分摊",1
"分销",1
"分支机构",1
"粉店",1
"风险",1
"奉还",1
"夫妻",1
"服装",9
"服装厂",2
"服装店",6
"服装贸易",1
"福利",1
"辅导",1
"辅导班",3
"父母",8
"父亲",4
"付",7
"付车",1
"付清",1
"负责人",2
"复婚",2
"复转",1
"副科级",1
"副食店",3
"副业",82
"副总经理",1
"改建",1
"改善",4
"改善生活",1
"改造",3
"改装",2
"盖",2
"盖房子",3
"盖州市",1
"感谢",2
"干部",9
"干果",1
"干事",1
"刚",2
"刚买",1
"钢管厂",1
"港货",1
"高额",1
"高管",18
"高级",7
"高级技工",1
"高精度",1
"高校教师",7
"高薪",1
"高以",1
"高于",1
"高于一切",1
"高中",1
"搞",5
"个店",1
"个个",1
"个人",86
"个人电脑",1
"个人消费",294
"个人信用",1
